"Paper_ID","Year","Title","Primary_Category","Secondary_Category","Role","Method","Task","Input_Level","Output_Level","Platform","Feedback","Verification","Benchmark","Tool","Agentic","Priority","Classification_Confidence","Classification_Rationale","Needs_Review","PDF_Path","Note_Path","Code_Status","Code_URL","Code_Checked_At"
"01","2020","AutoPhase: Juggling HLS Phase Orderings in Random Forests with Deep Reinforcement Learning","SUPPORTING","B4_Traditional_ML_Compiler_Optimization","INFRA_EVALUATOR","RL;PPO;Search;Evolutionary;Profiling","ANALYSIS","SOURCE;LLVM_IR","LLVM_IR","LLVM;HLS;FPGA;MULTI_PLATFORM","Profiler","Profiler","NO","LLVM","NO","高","HIGH","The work uses a traditional/non-LM compiler-learning method rather than an LM core role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","90_Supporting/04_Traditional_ML_Compiler_Optimization/01-AutoPhase Juggling HLS Phase Orderings in Random Forests with Deep Reinforcement Learning. MLSy/paper.pdf","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/01_AutoPhase_Juggling_HLS_Phase_Orderings_in_Random_Forests_with_Deep_Rei.md","NOT_CHECKED","",""
"02","2019","Compiler Phase-Ordering for High-Level Synthesis with Deep Reinforcement Learning","SUPPORTING","B4_Traditional_ML_Compiler_Optimization","INFRA_EVALUATOR","RL;Search;Profiling","ANALYSIS","SOURCE;LLVM_IR","LLVM_IR","LLVM;HLS;FPGA;MULTI_PLATFORM","Profiler","Profiler","YES","LLVM","NO","高","HIGH","The work uses a traditional/non-LM compiler-learning method rather than an LM core role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","90_Supporting/04_Traditional_ML_Compiler_Optimization/02-Compiler Phase-Ordering for High-Level Synthesis with Deep Reinforcement Learning. FCCM 2019 ar/paper.pdf","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/02_Compiler_Phase_Ordering_for_High_Level_Synthesis_with_Deep_Reinforceme.md","NOT_CHECKED","",""
"03","2021","CompilerGym: Robust, Performant Compiler Optimization Environments for AI Research","SUPPORTING","B2_Compiler_Infrastructure","INFRA_EVALUATOR","RL;Search","ANALYSIS","LLVM_IR","LLVM_IR","LLVM;GCC;HLS;MULTI_PLATFORM","NONE","Multi_Signal","YES","CompilerGym;LLVM","NO","高","HIGH","The work provides compiler infrastructure rather than a core LM compiler role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","90_Supporting/02_Compiler_Infrastructure/03-CompilerGym Robust, Performant Compiler Optimization Environments for AI Research. CGO 2022/paper.pdf","文献逐篇阅读/90_Supporting/02_Compiler_Infrastructure/03_CompilerGym_Robust_Performant_Compiler_Optimization_Environments_for_A.md","NOT_CHECKED","",""
"05","2026","MileStone: A Multi-Objective Compiler Phase Ordering Framework via Graph Neural Network and Deep Reinforcement Learning","SUPPORTING","B4_Traditional_ML_Compiler_Optimization","INFRA_EVALUATOR","RL;PPO;Search","ANALYSIS","SOURCE;LLVM_IR","LLVM_IR","LLVM","Runtime","Runtime","YES","LLVM","NO","高","HIGH","The work uses a traditional/non-LM compiler-learning method rather than an LM core role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","90_Supporting/04_Traditional_ML_Compiler_Optimization/05-MileStone A Multi-Objective Compiler Phase Ordering Framework. arXiv 2026/paper.pdf","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/05_MileStone_A_Multi_Objective_Compiler_Phase_Ordering_Framework_arXiv_20.md","NOT_CHECKED","",""
"06","2025","Exploiting Booster Pass Chain for Compiler Phase Ordering","SUPPORTING","B4_Traditional_ML_Compiler_Optimization","INFRA_EVALUATOR","Search","ANALYSIS","SOURCE;LLVM_IR","LLVM_IR","LLVM","Runtime","Runtime","YES","LLVM","NO","中","HIGH","The work uses a traditional/non-LM compiler-learning method rather than an LM core role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","90_Supporting/04_Traditional_ML_Compiler_Optimization/06-Exploiting Booster Pass Chain for Compiler Phase Ordering. 2025/paper.pdf","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/06_Exploiting_Booster_Pass_Chain_for_Compiler_Phase_Ordering_2025.md","NOT_CHECKED","",""
"37","2023","Faster sorting algorithms discovered using deep reinforcement learning","SUPPORTING","B3_LLM_RL_Foundation","INFRA_EVALUATOR","RL;Search","ANALYSIS","NL;SOURCE","SOURCE","x86","NONE","NONE","NO","NONE","NO","中","HIGH","The work provides a foundation model or learning foundation rather than one final compiler role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","90_Supporting/03_LLM_RL_Foundation/37-Faster sorting algorithms discovered using deep reinforcement learning. Nature 2023/paper.pdf","文献逐篇阅读/90_Supporting/03_LLM_RL_Foundation/37_Faster_sorting_algorithms_discovered_using_deep_reinforcement_learning.md","NOT_CHECKED","",""
"46","2023","Large Language Models for Compiler Optimization","SELECTOR","S1_Pass_Phase_Flag_Selection","SELECTOR_POLICY","Search","OPT;PASS_ORDERING","LLVM_IR;COMPILER_CONFIG","COMPILER_CONFIG","LLVM","NONE","NONE","NO","LLVM","NO","高","HIGH","The model selects compiler passes, phases, or flags; therefore its primary compiler role is SELECTOR.","NO","01_LLM_as_Selector/01_Pass_Phase_Flag_Selection/38-LLM for Compiler Optimization. arXiv 2023/paper.pdf","文献逐篇阅读/01_LLM_as_Selector/01_Pass_Phase_Flag_Selection/46_Large_Language_Models_for_Compiler_Optimization.md","NOT_CHECKED","",""
"47","2024","Priority Sampling of Large Language Models for Compilers","SELECTOR","S1_Pass_Phase_Flag_Selection","SELECTOR_POLICY","Search","OPT;PASS_ORDERING","LLVM_IR;COMPILER_CONFIG","COMPILER_CONFIG","NONE","NONE","NONE","NO","NONE","NO","高","HIGH","The model selects compiler passes, phases, or flags; therefore its primary compiler role is SELECTOR.","NO","01_LLM_as_Selector/01_Pass_Phase_Flag_Selection/39-Priority Sampling LLMs for Compilers. arXiv 2024/paper.pdf","文献逐篇阅读/01_LLM_as_Selector/01_Pass_Phase_Flag_Selection/47_Priority_Sampling_of_LLMs_for_Compilers.md","NOT_CHECKED","",""
"48","2024","CompilerDream: Learning a Compiler World Model for General Code Optimization","SUPPORTING","B4_Traditional_ML_Compiler_Optimization","INFRA_EVALUATOR","RL;Search","ANALYSIS","SOURCE;LLVM_IR","LLVM_IR","NONE","NONE","NONE","YES","CompilerGym","NO","高","HIGH","The work uses a traditional/non-LM compiler-learning method rather than an LM core role; the LM does not itself serve as the system's Selector, Translator, or Generator, therefore classified as SUPPORTING.","NO","90_Supporting/04_Traditional_ML_Compiler_Optimization/40-CompilerDream Compiler World Model. arXiv 2024/paper.pdf","文献逐篇阅读/90_Supporting/04_Traditional_ML_Compiler_Optimization/48_CompilerDream_World_Model.md","NOT_CHECKED","",""
"49","2024","Towards LLM-Based Optimization Compilers: Peephole Optimization","TRANSLATOR","T2_IR_ASM_Optimization_Superoptimization","TRANSLATOR_TRANSFORMER","SFT;CoT","OPT;VERIFICATION","LLVM_IR;ASM","LLVM_IR;ASM","AArch64","Verifier_Feedback","Multi_Signal","NO","Alive2","NO","高","HIGH","The model directly emits optimized IR or assembly; therefore its primary compiler role is TRANSLATOR.","NO","02_LLM_as_Translator/02_IR_ASM_Optimization_Superoptimization/41-Towards LLM Peephole Optimization. arXiv 2024/paper.pdf","文献逐篇阅读/02_LLM_as_Translator/02_IR_ASM_Optimization_Superoptimization/49_Reasoning_for_LLM_Peephole_Optimization.md","NOT_CHECKED","",""
